diseaseid	disease_name	geneid	symbol	uniprot	protein_class	gene_name	dsi	dpi	pli	score	el	ei	npmids	nsnps	year_initial	year_final
C0021368	Inflammation	2919	CXCL1	P09341	signaling molecule	C-X-C motif chemokine ligand 1	0.503	0.793	0.13227	0.02	no reported evidence		2	0	2003	2008
C0021368	Inflammation	8740	TNFSF14	O43557	signaling molecule	TNF superfamily member 14	0.58	0.586	0.046389	0.02	no reported evidence		2	0	2002	2006
C0021368	Inflammation	959	CD40LG	P29965	signaling molecule	CD40 ligand	0.447	0.828	0.72669	0.02	no reported evidence		2	0	2006	2007
C0021368	Inflammation	634	CEACAM1	P13688		carcinoembryonic antigen related cell adhesion molecule 1	0.59	0.552	0.00056749	0.02	no reported evidence		2	0	2006	2007
C0021368	Inflammation	652	BMP4	P12644	signaling molecule	bone morphogenetic protein 4	0.477	0.724	0.95584	0.02	no reported evidence		2	0	2004	2008
C0021368	Inflammation	1673	DEFB4A	O15263	defense/immunity protein	defensin beta 4A	0.551	0.724	0.0012421	0.02	no reported evidence		2	0	2003	2005
C0021368	Inflammation	2246	FGF1	P05230	signaling molecule	fibroblast growth factor 1	0.572	0.69	0.46152	0.02	no reported evidence		2	0	2002	2005
C0021368	Inflammation	10333	TLR6	Q9Y2C9		toll like receptor 6	0.611	0.621	2.40E-05	0.02	no reported evidence		2	0	2008	2008
C0021368	Inflammation	708	C1QBP	Q07021		complement C1q binding protein	0.636	0.483	8.86E-08	0.02	no reported evidence		2	0	2003	2007
C0021368	Inflammation	64806	IL25	Q9H293		interleukin 25	0.636	0.69	0.00076439	0.02	no reported evidence		2	0	2006	2008
C0021368	Inflammation	51738	GHRL	Q9UBU3		ghrelin and obestatin prepropeptide	0.511	0.655	1.21E-11	0.02	no reported evidence		2	0	2006	2007
C0021368	Inflammation	10673	TNFSF13B	Q9Y275		TNF superfamily member 13b	0.526	0.724	0.9831	0.02	no reported evidence		2	0	2007	2007
C0021368	Inflammation	91966	CXorf40A	Q8TE69		chromosome X open reading frame 40A			0.59608	0.02	no reported evidence		2	0	2004	2005
C0021368	Inflammation	3600	IL15	P40933		interleukin 15	0.467	0.724	0.92752	0.02	no reported evidence		2	0	2002	2003
C0021368	Inflammation	1080	CFTR	P13569	transporter	cystic fibrosis transmembrane conductance regulator	0.453	0.793	1.12E-57	0.02	no reported evidence		2	0	2005	2006
C0021368	Inflammation	50943	FOXP3	Q9BZS1		forkhead box P3	0.408	0.759	0.9936	0.02	no reported evidence		2	0	2006	2008
C0021368	Inflammation	8743	TNFSF10	P50591	signaling molecule	TNF superfamily member 10	0.44	0.828	0.12914	0.02	no reported evidence		2	0	2003	2003
C0021368	Inflammation	301	ANXA1	P04083		annexin A1	0.498	0.828	1.45E-07	0.02	no reported evidence		2	0	2006	2007
C0021368	Inflammation	351	APP	P05067	enzyme modulator	amyloid beta precursor protein	0.43	0.862	0.062254	0.02	no reported evidence		2	0	2005	2008
C0021368	Inflammation	1410	CRYAB	P02511		crystallin alpha B	0.546	0.621	0.023288	0.02	no reported evidence		2	0	2007	2008
C0021368	Inflammation	1432	MAPK14	Q16539	"kinase; transferase"	mitogen-activated protein kinase 14	0.449	0.862	0.77511	0.02	no reported evidence		2	0	2005	2007
C0021368	Inflammation	1471	CST3	P01034		cystatin C	0.5	0.724	0.0038631	0.02	no reported evidence		2	0	2007	2007
C0021368	Inflammation	7079	TIMP4	Q99727	enzyme modulator	TIMP metallopeptidase inhibitor 4	0.607	0.621	0.00032907	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	51305	KCNK9	Q9NPC2		potassium two pore domain channel subfamily K member 9	0.69	0.379	0.95591	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	51330	TNFRSF12A	Q9NP84		TNF receptor superfamily member 12A	0.547	0.586	0.087478	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	57758	SCUBE2	Q9NQ36	extracellular matrix protein	signal peptide, CUB domain and EGF like domain containing 2	0.857	0.138	4.76E-21	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	7052	TGM2	P21980	transferase	transglutaminase 2	0.499	0.69	6.96E-18	0.01	no reported evidence		1	0	2003	2003
C0021368	Inflammation	7305	TYROBP	O43914		TYRO protein tyrosine kinase binding protein	0.624	0.621	0.51728	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	55937	APOM	O95445		apolipoprotein M	0.648	0.483	0.00099371	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	54567	DLL4	Q9NR61		delta like canonical Notch ligand 4	0.535	0.69	0.99997	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	51816	ADA2	Q9NZK5	"hydrolase; signaling molecule"	adenosine deaminase 2	0.633	0.655		0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	7056	THBD	P07204		thrombomodulin	0.505	0.759	0.22912	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	80854	SETD7	Q8WTS6		SET domain containing lysine methyltransferase 7	0.707	0.31	0.017712	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	54210	TREM1	Q9NP99		triggering receptor expressed on myeloid cells 1	0.562	0.621	0.0072664	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	58191	CXCL16	Q9H2A7	signaling molecule	C-X-C motif chemokine ligand 16	0.58	0.448	3.46E-05	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	116519	APOA5	Q6Q788		apolipoprotein A5	0.609	0.483	9.05E-10	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	131450	CD200R1	Q8TD46		CD200 receptor 1	0.707	0.414	4.91E-09	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	160364	CLEC12A	Q5QGZ9		C-type lectin domain family 12 member A	0.743	0.241	2.68E-07	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	246778	IL27	Q8NEV9		interleukin 27	0.532	0.724	0.80066	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	260434	PYDC1	Q8WXC3		pyrin domain containing 1	0.886	0.172		0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	283748	PLA2G4D	Q86XP0	hydrolase	phospholipase A2 group IVD	0.886	0.138	5.35E-14	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	6441	SFTPD	P35247	"defense/immunity protein; surfactant"	surfactant protein D	0.569	0.69	8.49E-05	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	338322	NLRP10	Q86W26		NLR family pyrin domain containing 10	0.886	0.241	7.26E-09	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	440068	CARD17	Q5XLA6		caspase recruitment domain family member 17	0.928	0.069	5.26E-05	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	115650	TNFRSF13C	Q96RJ3		TNF receptor superfamily member 13C	0.575	0.724	0.27542	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	7532	YWHAG	P61981	chaperone	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	0.727	0.31	0.96918	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	64078	SLC28A3	Q9HAS3	transporter	solute carrier family 28 member 3	0.752	0.379	2.22E-22	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	65997	RASL11B	Q9BPW5		RAS like family 11 member B	1	0.034	0.0053898	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	79602	ADIPOR2	Q86V24	receptor	adiponectin receptor 2	0.594	0.586	0.37689	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	79865	TREML2	Q5T2D2		triggering receptor expressed on myeloid cells like 2	0.886	0.103	1.29E-08	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	6781	STC1	P52823	signaling molecule	stanniocalcin 1	0.575	0.621	0.1889	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	80274	SCUBE1	Q8IWY4	extracellular matrix protein	signal peptide, CUB domain and EGF like domain containing 1	1	0.069	0.96891	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	6699	SPRR1B	P22528		small proline rich protein 1B	0.928	0.207	0.00073744	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	90070	LACRT	Q9GZZ8		lacritin	1	0.034	0.0001281	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	339221	ENPP7	Q6UWV6	"hydrolase; phosphatase"	ectonucleotide pyrophosphatase/phosphodiesterase 7	0.857	0.103	1.13E-14	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	8651	SOCS1	O15524	enzyme modulator	suppressor of cytokine signaling 1	0.483	0.759	0.58244	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	9021	SOCS3	O14543	enzyme modulator	suppressor of cytokine signaling 3	0.487	0.724	0.74823	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	9153	SLC28A2	O43868	transporter	solute carrier family 28 member 2	0.834	0.241	2.57E-27	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	9235	IL32	P24001		interleukin 32	0.537	0.621	2.61E-09	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	7432	VIP	P01282	signaling molecule	vasoactive intestinal peptide	0.526	0.759	0.00039321	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	9308	CD83	Q01151		CD83 molecule	0.584	0.621	0.025447	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	7423	VEGFB	P49765	signaling molecule	vascular endothelial growth factor B	0.642	0.379	1.25E-09	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	9420	CYP7B1	O75881	oxidoreductase	cytochrome P450 family 7 subfamily B member 1	0.604	0.517	3.19E-06	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	9423	NTN1	O95631	"enzyme modulator; extracellular matrix protein; receptor"	netrin 1	0.582	0.69	0.9994	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	7448	VTN	P04004		vitronectin	0.534	0.724	1.58E-10	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	8862	APLN	Q9ULZ1		apelin	0.762	0.241	0.46318	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	7533	YWHAH	Q04917	chaperone	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	0.743	0.207	0.7893	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	8398	PLA2G6	O60733	enzyme modulator	phospholipase A2 group VI	0.494	0.724	2.79E-10	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	9332	CD163	Q86VB7	"hydrolase; oxidoreductase; protease; receptor"	CD163 molecule	0.52	0.793	0.0011171	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	8174	MADCAM1	Q13477		mucosal vascular addressin cell adhesion molecule 1	0.696	0.345	0.49412	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	7980	TFPI2	P48307	enzyme modulator	tissue factor pathway inhibitor 2	0.545	0.621	0.00078009	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	8741	TNFSF13	O75888		TNF superfamily member 13	0.561	0.655	0.78889	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	8742	TNFSF12	O43508		TNF superfamily member 12	0.598	0.655	0.75747	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	7818	DAP3	P51398	nucleic acid binding	death associated protein 3	0.743	0.345	1.19E-09	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	8784	TNFRSF18	Q9Y5U5		TNF receptor superfamily member 18	0.701	0.379	1.67E-06	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	9547	CXCL14	O95715		C-X-C motif chemokine ligand 14	0.611	0.448	0.041173	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	7412	VCAM1	P19320		vascular cell adhesion molecule 1	0.466	0.793	0.74466	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	10135	NAMPT	P43490	signaling molecule	nicotinamide phosphoribosyltransferase	0.564	0.69	0.98206	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	27179	IL36A	Q9UHA7		interleukin 36 alpha	0.928	0.207	0.027791	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	29943	PADI1	Q9ULC6		peptidyl arginine deiminase 1	0.762	0.414	4.70E-15	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	50604	IL20	Q9NYY1		interleukin 20	0.575	0.69	1.72E-06	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	50616	IL22	Q9GZX6		interleukin 22	0.464	0.793	0.00019005	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	7114	TMSB4X	P62328		thymosin beta 4 X-linked	0.598	0.552	0.42267	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	50848	F11R	Q9Y624		F11 receptor	0.645	0.483	1.70E-05	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	7098	TLR3	O15455	"extracellular matrix protein; receptor"	toll like receptor 3	0.475	0.862	1.52E-07	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	51094	ADIPOR1	Q96A54	receptor	adiponectin receptor 1	0.573	0.586	0.6524	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	26298	EHF	Q9NZC4	"nucleic acid binding; signaling molecule; transcription factor"	ETS homologous factor	0.735	0.31	0.76383	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	25824	PRDX5	P30044		peroxiredoxin 5	0.577	0.655	0.00013042	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	23495	TNFRSF13B	O14836		TNF receptor superfamily member 13B	0.572	0.724	1.90E-15	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	10344	CCL26	Q9Y258	signaling molecule	C-C motif chemokine ligand 26	0.681	0.483	0.0098534	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	10365	KLF2	Q9Y5W3	"nucleic acid binding; transcription factor"	Kruppel like factor 2	0.602	0.586	0.56497	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	10628	TXNIP	Q9H3M7		thioredoxin interacting protein	0.552	0.621	0.11983	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	10859	LILRB1	Q8NHL6	"defense/immunity protein; enzyme modulator; receptor; signaling molecule"	leukocyte immunoglobulin like receptor B1	0.559	0.655	3.51E-14	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	11019	LIAS	O43766		lipoic acid synthetase	0.707	0.414	2.40E-05	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	11251	PTGDR2	Q9Y5Y4	receptor	prostaglandin D2 receptor 2	0.681	0.586	0.0030301	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	23054	NCOA6	Q14686	nucleic acid binding	nuclear receptor coactivator 6	0.648	0.621	0.99998	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	23411	SIRT1	Q96EB6	"hydrolase; nucleic acid binding"	sirtuin 1	0.432	0.828	0.081958	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	51284	TLR7	Q9NYK1		toll like receptor 7	0.542	0.759	0.97165	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	2323	FLT3LG	P49771		fms related tyrosine kinase 3 ligand	0.596	0.517	0.94214	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	1557	CYP2C19	P33261		cytochrome P450 family 2 subfamily C member 19	0.501	0.793	4.11E-20	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	1511	CTSG	P08311	"hydrolase; protease"	cathepsin G	0.656	0.517	7.82E-06	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	1508	CTSB	P07858	"enzyme modulator; hydrolase; protease"	cathepsin B	0.49	0.828	3.33E-11	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	1499	CTNNB1	P35222		catenin beta 1	0.417	0.759	0.99999	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	1435	CSF1	P09603		colony stimulating factor 1	0.51	0.655	0.99155	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	1392	CRH	P06850		corticotropin releasing hormone	0.456	0.759	0.72442	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	1361	CPB2	Q96IY4	"hydrolase; protease"	carboxypeptidase B2	0.594	0.586	2.96E-17	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	1270	CNTF	P26441		ciliary neurotrophic factor	0.621	0.414	2.23E-05	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	1268	CNR1	P21554	receptor	cannabinoid receptor 1	0.47	0.69	0.51751	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	1238	ACKR2	O00590		atypical chemokine receptor 2	0.762	0.276	0.0014411	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	1237	CCR8	P51685		C-C motif chemokine receptor 8	0.659	0.414	0.0083983	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	1236	CCR7	P32248		C-C motif chemokine receptor 7	0.477	0.759	0.052849	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	1191	CLU	P10909		clusterin	0.456	0.793	5.69E-05	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	1116	CHI3L1	P36222		chitinase 3 like 1	0.502	0.793	8.51E-06	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	1026	CDKN1A	P38936		cyclin dependent kinase inhibitor 1A	0.415	0.724	0.0020695	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	999	CDH1	P12830		cadherin 1	0.432	0.759	0.11369	0.01	no reported evidence		1	0	2002	2002
C0021368	Inflammation	1588	CYP19A1	P11511	oxidoreductase	cytochrome P450 family 19 subfamily A member 1	0.482	0.69	8.62E-06	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	1652	DDT	P30046	"isomerase; signaling molecule"	D-dopachrome tautomerase	0.672	0.345	0.33652	0.01	no reported evidence		1	0	2003	2003
C0021368	Inflammation	1667	DEFA1	P59665		defensin alpha 1	0.672	0.552		0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	2321	FLT1	P17948		fms related tyrosine kinase 1	0.453	0.793	0.99992	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	2288	FKBP4	Q02790	"calcium-binding protein; chaperone; isomerase"	FK506 binding protein 4	0.59	0.621	0.34942	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	2252	FGF7	P21781	signaling molecule	fibroblast growth factor 7	0.533	0.621	0.78285	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	2214	FCGR3A	P08637	cell adhesion molecule	Fc fragment of IgG receptor IIIa	0.466	0.793	2.26E-06	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	2212	FCGR2A	P12318	cell adhesion molecule	Fc fragment of IgG receptor IIa	0.511	0.724	8.21E-05	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	2209	FCGR1A	P12314	cell adhesion molecule	Fc fragment of IgG receptor Ia	0.611	0.586	0.0035595	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	2204	FCAR	P24071	"defense/immunity protein; enzyme modulator; receptor; signaling molecule"	Fc fragment of IgA receptor	0.69	0.448	5.66E-08	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	2160	F11	P03951	"hydrolase; protease"	coagulation factor XI	0.656	0.414	5.09E-26	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	2155	F7	P08709	"hydrolase; protease"	coagulation factor VII	0.547	0.69	1.53E-05	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	2147	F2	P00734	"hydrolase; protease"	coagulation factor II, thrombin	0.466	0.793	0.0011245	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	1999	ELF3	P78545	"nucleic acid binding; signaling molecule; transcription factor"	E74 like ETS transcription factor 3	0.611	0.586	0.97247	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	1950	EGF	P01133		epidermal growth factor	0.386	0.897	1.02E-16	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	9	NAT1	P18440	transferase	N-acetyltransferase 1	0.564	0.724	1.81E-14	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	1829	DSG2	Q14126	"cell adhesion molecule; cell junction protein"	desmoglein 2	0.645	0.448	3.77E-10	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	1755	DMBT1	Q9UGM3	"hydrolase; oxidoreductase; protease; receptor"	deleted in malignant brain tumors 1	0.573	0.483	3.53E-61	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	1668	DEFA3	P59666		defensin alpha 3	0.72	0.448	0.091898	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	968	CD68	P34810	membrane traffic protein	CD68 molecule	0.48	0.793	1.22E-06	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	962	CD48	P09326	"cell adhesion molecule; defense/immunity protein; kinase; receptor; signaling molecule; transferase"	CD48 molecule	0.667	0.552	0.00012752	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	961	CD47	Q08722		CD47 molecule	0.538	0.655	0.91235	0.01	no reported evidence		1	0	2003	2003
C0021368	Inflammation	355	FAS	P25445		Fas cell surface death receptor	0.393	0.862	0.83991	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	347	APOD	P05090		apolipoprotein D	0.598	0.483	0.00055804	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	343	AQP8	O94778	transporter	aquaporin 8	0.799	0.276	0.00040466	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	337	APOA4	P06727		apolipoprotein A4	0.596	0.517	4.89E-06	0.01	no reported evidence		1	0	2009	2009
C0021368	Inflammation	332	BIRC5	O15392	enzyme modulator	baculoviral IAP repeat containing 5	0.479	0.655	0.056738	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	325	APCS	P02743		amyloid P component, serum	0.565	0.655	0.030048	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	285	ANGPT2	O15123	signaling molecule	angiopoietin 2	0.479	0.724	0.85572	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	283	ANG	P03950		angiogenin	0.547	0.69	0.29469	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	274	BIN1	O00499		bridging integrator 1	0.573	0.621	0.76923	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	249	ALPL	P05186	"hydrolase; phosphatase"	alkaline phosphatase, liver/bone/kidney	0.564	0.621	0.00035455	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	197	AHSG	P02765	enzyme modulator	alpha 2-HS glycoprotein	0.577	0.69	2.72E-10	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	185	AGTR1	P30556	receptor	angiotensin II receptor type 1	0.454	0.759	0.0005718	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	155	ADRB3	P13945	receptor	adrenoceptor beta 3	0.558	0.552	2.72E-07	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	116	ADCYAP1	P18509	signaling molecule	adenylate cyclase activating polypeptide 1	0.598	0.586	0.52237	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	103	ADAR	P55265	"defense/immunity protein; enzyme modulator; hydrolase; nucleic acid binding"	adenosine deaminase, RNA specific	0.586	0.655	0.0375	0.01	no reported evidence		1	0	2003	2003
C0021368	Inflammation	100	ADA	P00813	hydrolase	adenosine deaminase	0.494	0.793	1.46E-10	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	356	FASLG	P48023	signaling molecule	Fas ligand	0.462	0.862	0.18367	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	360	AQP3	Q92482	transporter	aquaporin 3 (Gill blood group)	0.577	0.621	0.079529	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	361	AQP4	P55087	transporter	aquaporin 4	0.525	0.793	0.002775	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	952	CD38	P28907	"hydrolase; lyase"	CD38 molecule	0.481	0.828	2.91E-06	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	940	CD28	P10747		CD28 molecule	0.488	0.793	0.37386	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	847	CAT	P04040	oxidoreductase	catalase	0.397	0.828	1.88E-10	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	820	CAMP	P49913		cathelicidin antimicrobial peptide	0.537	0.69	0.025987	0.01	no reported evidence		1	0	2003	2003
C0021368	Inflammation	775	CACNA1C	Q13936		calcium voltage-gated channel subunit alpha1 C	0.575	0.517	1	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	728	C5AR1	P21730	receptor	complement C5a receptor 1	0.59	0.655	0.38963	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	721	C4B	"P0C0L4;P0C0L5"	"defense/immunity protein; enzyme modulator; signaling molecule"	complement C4B (Chido blood group)	0.627	0.724	0.75419	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	720	C4A	"P0C0L4;P0C0L5"	"defense/immunity protein; enzyme modulator; signaling molecule"	complement C4A (Rodgers blood group)	0.604	0.69	7.67E-09	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	719	C3AR1	Q16581	receptor	complement C3a receptor 1	0.696	0.448	3.34E-09	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	718	C3	P01024	"defense/immunity protein; enzyme modulator; signaling molecule"	complement C3	0.484	0.828	0.93842	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	710	SERPING1	P05155	enzyme modulator	serpin family G member 1	0.607	0.655	0.99318	0.01	no reported evidence		1	0	2005	2005
C0021368	Inflammation	683	BST1	Q10588	"hydrolase; lyase"	bone marrow stromal cell antigen 1	0.785	0.345	3.70E-10	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	682	BSG	P35613	transmembrane receptor regulatory/adaptor protein	basigin (Ok blood group)	0.5	0.759	0.00013473	0.01	no reported evidence		1	0	2003	2003
C0021368	Inflammation	671	BPI	P17213		bactericidal permeability increasing protein	0.639	0.552	1.95E-14	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	608	TNFRSF17	Q02223	receptor	TNF receptor superfamily member 17	0.685	0.414	1.55E-06	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	364	AQP7	O14520	transporter	aquaporin 7	0.762	0.241	3.20E-14	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	54	ACP5	P13686		acid phosphatase 5, tartrate resistant	0.577	0.69	0.07045	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	2335	FN1	P02751	signaling molecule	fibronectin 1	0.399	0.828	0.0012155	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	6401	SELE	P16581		selectin E	0.479	0.793	7.02E-10	0.01	no reported evidence		1	0	2004	2004
C0021368	Inflammation	5354	PLP1	P60201	structural protein	proteolipid protein 1	0.577	0.517	0.92708	0.01	no reported evidence		1	0	2007	2007
C0021368	Inflammation	5331	PLCB3	Q01970	"calcium-binding protein; enzyme modulator; hydrolase; signaling molecule"	phospholipase C beta 3	0.752	0.31	0.80413	0.01	no reported evidence		1	0	2008	2008
C0021368	Inflammation	5327	PLAT	P00750	"hydrolase; protease"	plasminogen activator, tissue type	0.459	0.828	3.46E-05	0.01	no reported evidence		1	0	2006	2006
C0021368	Inflammation	5281	PIGF	Q07326	transferase	phosphatidylinositol glycan anchor biosynthesis class F	0.834	0.276	0.00072736	0.01	no reported evidence		1	0	2006	2006
