ensembl_gene_id	hgnc_symbol	logFC_RETT_FC	PValue_RETT_FC	entrezgene
ENSG00000131910	NR0B2	0.120067961	0.145322629	8431
ENSG00000214765	SEPT7P2	0.185026221	0.145323484	NA
ENSG00000182521	TBPL2	-0.147102374	0.145390752	387332
ENSG00000232113	TEX50	0.139066039	0.145438598	730159
ENSG00000133302	SLF1	-0.249912525	0.14548454	84250
ENSG00000074603	DPP8	-0.124420839	0.145530005	54878
ENSG00000003509	NDUFAF7	-0.185382457	0.145598007	55471
ENSG00000170356		0.216268505	0.145646933	401428
ENSG00000150681	RGS18	-0.181276727	0.145693401	64407
ENSG00000064309	CDON	-0.14066338	0.145700732	50937
ENSG00000099364	FBXL19	0.221340304	0.145733791	54620
ENSG00000137486	ARRB1	0.286135526	0.145736338	408
ENSG00000197891	SLC22A12	0.138644692	0.145814879	116085
ENSG00000169756	LIMS1	-0.148523611	0.145824222	3987
ENSG00000187492	CDHR4	-0.139305749	0.145865898	389118
ENSG00000149798	CDC42EP2	-0.377557551	0.145887461	10435
ENSG00000143889	HNRNPLL	-0.164246433	0.145898099	92906
ENSG00000170832	USP32	-0.208746711	0.145916681	84669
ENSG00000105221	AKT2	0.168727468	0.145919852	208
ENSG00000149187	CELF1	-0.159052731	0.145949111	10658
ENSG00000108395	TRIM37	-0.493675428	0.145973723	4591
ENSG00000215127	SYT14P1	0.126895661	0.146016252	NA
ENSG00000221203	MIR1262	0.148683096	0.146017913	100302279
ENSG00000166477	LEO1	-0.225266212	0.14606149	123169
ENSG00000236592	S100A11P2	-0.133001784	0.146133968	NA
ENSG00000254415	SIGLEC14	-0.146682247	0.146134252	100049587
ENSG00000186529	CYP4F3	0.188132692	0.146192561	4051
ENSG00000181588	MEX3D	-0.18969283	0.14623679	399664
ENSG00000129455	KLK8	0.159168183	0.14632218	11202
ENSG00000090447	TFAP4	0.211868484	0.146346268	7023
ENSG00000196876	SCN8A	-0.152108363	0.146374793	6334
ENSG00000211978	IGHV5-78	-0.128813873	0.146429033	NA
ENSG00000115239	ASB3	-0.240213526	0.14652533	51130
ENSG00000275643	RBM22P6	0.184097738	0.146538283	NA
ENSG00000007312	CD79B	0.261769862	0.146561047	974
ENSG00000274791	F8A2	-0.20239748	0.146662883	474383
ENSG00000105707	HPN	-0.307703661	0.146730217	3249
ENSG00000162714	ZNF496	0.1328886	0.146730314	84838
ENSG00000278924		0.123879688	0.146806012	NA
ENSG00000100852	ARHGAP5	0.202806136	0.14681147	394
ENSG00000101843	PSMD10	-0.213342318	0.146830948	5716
ENSG00000249235		0.151826008	0.146912355	NA
ENSG00000173976	RAX2	0.173485632	0.146916809	84839
ENSG00000166596	CFAP52	-0.230303462	0.146929983	146845
ENSG00000196098	OR5K4	0.152381762	0.146949539	403278
ENSG00000280278		0.137669528	0.147000745	146512
ENSG00000150275	PCDH15	-0.145073778	0.147018624	65217
ENSG00000182824	LINC01662	-0.21054401	0.147035627	642643
ENSG00000115665	SLC5A7	0.149286158	0.147040067	60482
ENSG00000251363	LINC02315	0.28184838	0.147103463	NA
ENSG00000280351		-0.173633881	0.147104769	100129503
ENSG00000228462	RPS19P7	-0.169931445	0.147147896	NA
ENSG00000197937	ZNF347	-0.140960718	0.147184774	84671
ENSG00000274744	ELOA3D	0.132098687	0.147234832	100506888
ENSG00000250274		-0.169857424	0.147239514	100128059
ENSG00000053108	FSTL4	0.140666483	0.147273376	23105
ENSG00000198015	MRPL42	-0.183454525	0.147287107	28977
ENSG00000073417	PDE8A	0.153157902	0.147331322	5151
ENSG00000163082	SGPP2	-0.130971936	0.14735403	130367
ENSG00000120322	PCDHB8	0.145084888	0.147357124	56128
ENSG00000150261	OR8K1	0.128048589	0.147366945	390157
ENSG00000151491	EPS8	-0.189706844	0.147383675	2059
ENSG00000179331	RAB39A	0.18194147	0.147394361	54734
ENSG00000165966	PDZRN4	-0.253972621	0.147445082	29951
ENSG00000092068	SLC7A8	0.136234309	0.14746019	23428
ENSG00000189079	ARID2	0.167293946	0.14747062	196528
ENSG00000234741	GAS5	-0.147813831	0.147486089	60674
ENSG00000101811	CSTF2	-0.151140251	0.147535617	1478
ENSG00000252367		-0.177254353	0.147540833	NA
ENSG00000213700	RPL17P50	0.151613831	0.147569933	NA
ENSG00000131401	NAPSB	-0.275939611	0.147628831	256236
ENSG00000087338	GMCL1	0.194824326	0.147781444	64395
ENSG00000207552	MIR633	0.125978212	0.147792186	693218
ENSG00000177225	GATD1	-0.118010005	0.147796408	347862
ENSG00000235711	ANKRD34C	0.174172409	0.147810951	390616
ENSG00000125686	MED1	0.180658905	0.147822713	5469
ENSG00000179213	SIGLECL1	-0.177002516	0.147822985	284369
ENSG00000112852	PCDHB2	0.192735238	0.147846777	56133
ENSG00000182628	SKA2	0.208043129	0.14787118	348235
ENSG00000080293	SCTR	0.315891872	0.147972889	6344
ENSG00000273173	SNURF	-0.160442287	0.147978445	8926
ENSG00000166012	TAF1D	0.166959494	0.147983463	79101
ENSG00000105088	OLFM2	0.221306438	0.148037988	93145
ENSG00000131864	USP29	0.136397857	0.148090081	57663
ENSG00000250993		0.159447828	0.148151361	NA
ENSG00000196565	HBG2	0.241828331	0.148166318	3048
ENSG00000228784	LINC00954	-0.137148256	0.148233785	400946
ENSG00000233642	GPR158-AS1	0.205598168	0.148253226	100128811
ENSG00000177202	SPACA4	0.131120393	0.148255664	171169
ENSG00000143473	KCNH1	-0.163505407	0.148436605	3756
ENSG00000228499	TMSB10P1	-0.260416478	0.1484716	NA
ENSG00000121270	ABCC11	-0.152120785	0.148554496	85320
ENSG00000112249	ASCC3	-0.137305173	0.148563068	10973
ENSG00000127603	MACF1	-0.144428281	0.148584511	643314
ENSG00000127603	MACF1	-0.144428281	0.148584511	23499
ENSG00000213676	ATF6B	0.155221657	0.148642315	1388
ENSG00000154479	CCDC173	-0.138266361	0.148815357	129881
ENSG00000164045	CDC25A	0.154333092	0.148860802	993
ENSG00000147509	RGS20	0.1482533	0.148876815	8601
ENSG00000138279	ANXA7	-0.310502914	0.148884682	310
ENSG00000089177	KIF16B	0.146384275	0.148923616	55614
ENSG00000214525		-0.140076155	0.148990476	NA
ENSG00000173269	MMRN2	0.148685066	0.149008491	79812
ENSG00000147124	ZNF41	-0.160603725	0.149060542	7592
ENSG00000258652	OR4Q1P	-0.200861122	0.149084666	NA
ENSG00000104827	CGB3	-0.138921655	0.149094369	1082
ENSG00000182035	ADIG	-0.143865533	0.149137282	149685
ENSG00000057149	SERPINB3	0.165260108	0.149193713	6317
ENSG00000181790	ADGRB1	-0.145736853	0.149379685	575
ENSG00000224223	VSTM2A-OT1	0.225435953	0.149405219	285878
ENSG00000157450	RNF111	0.202148184	0.149496058	54778
ENSG00000118508	RAB32	-0.230419093	0.149518364	10981
ENSG00000187180	LCE2C	0.147417751	0.149536531	353140
ENSG00000229877	PAICSP5	0.19147373	0.149542792	NA
ENSG00000161714	PLCD3	0.169405716	0.149571841	113026
ENSG00000152315	KCNK13	-0.144449764	0.149595637	56659
ENSG00000141424	SLC39A6	-0.353597179	0.149742645	25800
ENSG00000143340	FAM163A	-0.229053264	0.14978139	148753
ENSG00000183813	CCR4	-0.222239633	0.14981569	1233
ENSG00000268758	ADGRE4P	-0.14799919	0.149872385	326342
ENSG00000233430		-0.171213795	0.149882694	NA
ENSG00000196867	ZFP28	0.162489615	0.149954988	140612
ENSG00000176108	CHMP6	-0.189519285	0.149978958	79643
ENSG00000171574	ZNF584	0.180385219	0.150111369	201514
ENSG00000212935	KRTAP10-3	0.156414896	0.150141757	386682
ENSG00000223941	LINC01014	-0.166639251	0.150213964	100874330
ENSG00000198488	B3GNT6	-0.194619615	0.150217292	192134
ENSG00000173077	dec-01	-0.160582586	0.150270516	50514
ENSG00000142173	COL6A2	0.133369947	0.150287037	1292
ENSG00000159147	DONSON	-0.223332571	0.150355131	29980
ENSG00000197261	C6orf141	-0.227982351	0.150390728	135398
ENSG00000137100	DCTN3	-0.186610159	0.150399833	11258
ENSG00000221493	MIR320C1	0.129452042	0.150404758	100302135
ENSG00000133958	UNC79	0.148769346	0.150415522	57578
ENSG00000237521	OR7E24	-0.146035027	0.150424078	26648
ENSG00000095370	SH2D3C	-0.178707852	0.150669267	10044
ENSG00000256463	SALL3	0.202690515	0.150723658	27164
ENSG00000167261	DPEP2	-0.205641568	0.1507491	64174
ENSG00000229859	PGA3	-0.202070303	0.150816525	643834
ENSG00000223459	TCAF1P1	0.1382707	0.150868242	NA
ENSG00000196946	ZNF705A	-0.165234251	0.150949349	440077
ENSG00000172465	TCEAL1	-0.479558532	0.150951148	9338
ENSG00000111231	GPN3	0.150912759	0.150992078	51184
ENSG00000182109		-0.172130866	0.151048754	NA
ENSG00000225660		0.187645279	0.151093293	NA
ENSG00000182742	HOXB4	0.207392841	0.151122062	3214
ENSG00000136931	NR5A1	0.151143094	0.151123747	2516
ENSG00000054118	THRAP3	0.158440792	0.151147675	9967
ENSG00000119917	IFIT3	-0.12298416	0.151174287	3437
ENSG00000184788	SATL1	-0.195182363	0.151239564	340562
ENSG00000254764	TRIM53CP	0.143798884	0.151248742	NA
ENSG00000221288	MIR663B	0.172153856	0.151272991	100313824
ENSG00000164070	HSPA4L	-0.232543662	0.151284771	22824
ENSG00000152766	ANKRD22	-0.157608756	0.151344356	118932
ENSG00000154133	ROBO4	-0.152217431	0.151385636	54538
ENSG00000230062	ANKRD66	-0.154078802	0.151395322	100287718
ENSG00000120327	PCDHB14	-0.149820817	0.15144876	56122
ENSG00000108666	C17orf75	0.444652013	0.151465212	64149
ENSG00000170955	CAVIN3	-0.158924295	0.151514384	112464
ENSG00000177354	C10orf71	0.177146645	0.151667766	118461
ENSG00000224680	PLA2G12AP1	0.151896892	0.151833045	NA
ENSG00000266976		0.151770207	0.151842957	102724908
ENSG00000183598	HIST2H3D	-0.151059923	0.151879879	653604
ENSG00000144306	SCRN3	-0.178230021	0.151901109	79634
ENSG00000273024	INTS4P2	-0.177218985	0.151997638	NA
ENSG00000168916	ZNF608	0.196241884	0.152006963	57507
ENSG00000180872	DEFB112	0.128258415	0.152045895	245915
ENSG00000199172	MIR331	0.153987665	0.152108185	442903
ENSG00000135569	TAAR5	-0.228274007	0.152147019	9038
ENSG00000175707	KDF1	0.181994494	0.152210353	126695
ENSG00000225826	LINC00626	0.176269695	0.152251733	79100
ENSG00000168243	GNG4	-0.257061729	0.152379881	2786
ENSG00000279773		0.142633176	0.152393889	NA
ENSG00000248596		-0.164046346	0.152528279	NA
ENSG00000136110	CNMD	0.136737443	0.152555979	11061
ENSG00000224224	HAUS1P2	-0.131250063	0.15257882	NA
ENSG00000146839	ZAN	0.159004967	0.152629271	7455
ENSG00000257634		0.153964084	0.152630573	NA
ENSG00000101126	ADNP	-0.255404063	0.152660315	23394
ENSG00000196224	KRTAP5-3	0.172475862	0.152690804	387266
ENSG00000075391	RASAL2	0.210238192	0.15273638	9462
ENSG00000079308	TNS1	0.223649305	0.152789176	7145
ENSG00000225705		-0.18779654	0.152801588	NA
ENSG00000162849	KIF26B	0.143436115	0.152817637	55083
ENSG00000261235		-0.162273683	0.152894936	NA
ENSG00000120696	KBTBD7	-0.152443336	0.152900297	84078
ENSG00000184564	SLITRK6	0.134414511	0.152944007	84189
ENSG00000177143	CETN1	0.174798399	0.152948783	1068
ENSG00000258912	LINC02316	-0.13989502	0.153029595	NA
ENSG00000162825	NBPF20	-0.201359191	0.153074046	100288142
ENSG00000240809		-0.139496721	0.153096825	NA
ENSG00000119559	C19orf25	0.174128922	0.153106454	148223
ENSG00000244754	N4BP2L2	-0.150180276	0.153114925	10443
ENSG00000105443	CYTH2	-0.173985104	0.153135492	9266
ENSG00000101000	PROCR	-0.2348844	0.153151219	10544
ENSG00000226741	LINC02554	0.130040629	0.153171678	100507657
ENSG00000170473	PYM1	0.225483867	0.153229535	84305
ENSG00000158816	VWA5B1	-0.148403701	0.153288114	127731
ENSG00000111647	UHRF1BP1L	0.164906376	0.153403553	23074
ENSG00000164252	AGGF1	-0.16072205	0.153430968	55109
ENSG00000213204		0.136852167	0.153462421	NA
ENSG00000111249	CUX2	0.740296047	0.153464827	23316
ENSG00000246560		0.230902835	0.153486564	105377348
ENSG00000175967		-0.167593739	0.153534583	NA
ENSG00000133475	GGT2	-0.150748463	0.15356041	728441
ENSG00000101294	HM13	-0.211126232	0.153672912	81502
ENSG00000165804	ZNF219	0.225899064	0.153750859	51222
ENSG00000119673	ACOT2	-0.290172772	0.153793078	10965
ENSG00000116183	PAPPA2	-0.115385311	0.153828934	60676
ENSG00000177380	PPFIA3	-0.186571609	0.153902366	8541
ENSG00000163116	STPG2	-0.1401634	0.153929929	285555
ENSG00000274062		-0.201772623	0.153937705	NA
ENSG00000065717	TLE2	0.286284489	0.153949498	7089
ENSG00000139572	GPR84	-0.141430532	0.154019395	53831
ENSG00000230044		0.142597254	0.154090999	NA
ENSG00000204843	DCTN1	0.162113774	0.1541384	1639
ENSG00000197467	COL13A1	0.144588693	0.154139421	1305
ENSG00000100197	CYP2D6	0.13675978	0.154140769	107987479
ENSG00000100197	CYP2D6	0.13675978	0.154140769	107987478
ENSG00000100197	CYP2D6	0.13675978	0.154140769	1565
ENSG00000165091	TMC1	-0.125630073	0.154141438	117531
ENSG00000175544	CABP4	-0.140793779	0.154143372	57010
ENSG00000137841	PLCB2	-0.212965645	0.154156751	5330
ENSG00000246228	CASC8	-0.124625934	0.154243962	727677
ENSG00000164073	MFSD8	0.151822878	0.15427777	256471
ENSG00000179978		-0.31269713	0.154294849	NA
ENSG00000203811	HIST2H3C	-0.143712951	0.154346971	126961
ENSG00000233864	TTTY15	0.142600296	0.154477728	64595
ENSG00000189269	DRICH1	-0.182707571	0.154494655	51233
ENSG00000147419	CCDC25	0.320940852	0.154495531	55246
ENSG00000270276	HIST2H4B	-0.135228341	0.154501476	554313
ENSG00000145416	MARCH1	-0.163537849	0.154511562	55016
ENSG00000181004	BBS12	0.192460493	0.154522301	166379
ENSG00000137094	DNAJB5	-0.246646743	0.154606356	25822
ENSG00000279000	OR10A6	0.159799328	0.154868238	390093
ENSG00000101892	ATP1B4	-0.156155905	0.154898519	23439
ENSG00000215003	RPL15P20	0.161053542	0.155002188	NA
ENSG00000186994	KANK3	-0.17835439	0.155042489	256949
ENSG00000262576	PCDHGA4	-0.18071496	0.155054562	56111
ENSG00000186188	FFAR4	-0.239672749	0.15505681	338557
ENSG00000131845	ZNF304	0.151278849	0.155065286	57343
ENSG00000168703	WFDC12	-0.154126759	0.15517843	128488
ENSG00000119514	GALNT12	0.174862171	0.155179585	79695
ENSG00000116035	VAX2	0.124534728	0.155188027	25806
ENSG00000142528	ZNF473	-0.194703764	0.155228823	25888
ENSG00000172965	MIR4435-2HG	0.134352543	0.1552565	541471
ENSG00000204740	MALRD1	-0.158948446	0.155381684	340895
ENSG00000140807	NKD1	-0.205234841	0.155431795	85407
ENSG00000144824	PHLDB2	-0.152985447	0.155448778	90102
ENSG00000157399	ARSE	-0.16365948	0.155471037	415
ENSG00000180068	OR3A4P	0.14024848	0.155505151	NA
ENSG00000237388	OR4A47	-0.142504258	0.155509494	403253
ENSG00000229376	CICP3	-0.135023888	0.155517995	NA
ENSG00000155265	GOLGA7B	0.24195339	0.155567298	401647
ENSG00000141756	FKBP10	0.207416022	0.155646799	60681
ENSG00000232963	HMGN2P20	-0.159656709	0.155654905	NA
ENSG00000125967	NECAB3	-0.34096852	0.155663492	63941
ENSG00000185627	PSMD13	-0.153167505	0.155676486	5719
ENSG00000223641	TTTY17C	0.150937484	0.155692476	474152
ENSG00000176289	IDSP1	0.176868879	0.155695289	NA
ENSG00000137634	NXPE4	-0.143620191	0.155721414	54827
ENSG00000211863	TRAJ26	-0.199996578	0.155748204	NA
ENSG00000157077	ZFYVE9	-0.159090292	0.155830692	9372
ENSG00000156017	CARNMT1	-0.136710645	0.155949965	138199
ENSG00000227233	CICP17	0.132702048	0.15598586	NA
ENSG00000181409	AATK	-0.155737159	0.156135771	9625
ENSG00000177640	CASC2	0.137271185	0.156138439	255082
ENSG00000213642		-0.141857521	0.156191304	NA
ENSG00000197992	CLEC9A	-0.192855276	0.156219459	283420
ENSG00000246763	RGMB-AS1	0.140343553	0.156255846	503569
ENSG00000249662	LINC02218	0.127809402	0.156259716	102723526
ENSG00000269713	NBPF9	-0.172435043	0.156260218	400818
ENSG00000103353	UBFD1	-0.161466133	0.156261726	56061
ENSG00000274349	ZNF658	0.138539369	0.156315111	26149
ENSG00000198610	AKR1C4	0.164113102	0.156366821	1109
ENSG00000131263	RLIM	0.148423572	0.156398523	51132
ENSG00000168003	SLC3A2	0.20069178	0.156470555	6520
ENSG00000115561	CHMP3	0.15223041	0.156502251	51652
ENSG00000186119	OR5D18	-0.145009005	0.156694857	219438
ENSG00000270601	PRAMEF5	0.146470222	0.156760562	343068
ENSG00000090975	PITPNM2	-0.141891333	0.156797082	57605
ENSG00000177096	FAM109B	-0.147034867	0.156860332	150368
ENSG00000172840	PDP2	0.138110602	0.156990124	57546
ENSG00000245552		0.186264845	0.157018962	101929295
ENSG00000165895	ARHGAP42	0.144006712	0.15704822	143872
ENSG00000173572	NLRP13	0.14069166	0.15704953	126204
ENSG00000250318		0.136164526	0.157081257	NA
ENSG00000141753	IGFBP4	0.209747469	0.157129377	3487
ENSG00000152492	CCDC50	0.16641237	0.157139032	152137
ENSG00000257500		0.168761866	0.157163482	NA
ENSG00000110203	FOLR3	0.139631785	0.157187303	2352
ENSG00000138615	CILP	-0.164060649	0.157190085	8483
ENSG00000248109	MARCOL	0.184246964	0.157224978	105378220
ENSG00000089157	RPLP0	-0.394594475	0.157278349	6175
ENSG00000223889		0.160709546	0.157284233	NA
ENSG00000078098	FAP	-0.181516324	0.157316473	2191
ENSG00000112038	OPRM1	-0.148616841	0.157368669	4988
ENSG00000221957	KIR2DS4	0.178002034	0.15740958	3809
ENSG00000257221		-0.132849497	0.157481854	NA
ENSG00000223566	TNRC18P2	-0.139274059	0.157510294	NA
ENSG00000217929	CICP18	0.200643307	0.157547617	NA
ENSG00000084453	SLCO1A2	-0.518381964	0.157559413	6579
ENSG00000236886		-0.189755909	0.157588229	NA
ENSG00000188408	MAGEB5	0.237806528	0.157660668	347541
ENSG00000270231	NBPF8	-0.149273376	0.15769249	NA
ENSG00000196184	OR10J1	-0.11797234	0.157723064	26476
ENSG00000230535	BASP1P1	0.149616482	0.157736852	NA
ENSG00000169515	CCDC8	0.139684796	0.157768278	83987
ENSG00000184216	IRAK1	-0.152769866	0.157798897	3654
ENSG00000237276	ANO7L1	-0.202001728	0.157813596	NA
ENSG00000184898	RBM43	0.192783404	0.157854921	375287
ENSG00000138780	GSTCD	0.140740132	0.157884899	79807
ENSG00000196422	PPP1R26	0.265058377	0.157903104	9858
ENSG00000134389	CFHR5	-0.135868646	0.157918387	81494
ENSG00000162885	B3GALNT2	0.15742942	0.158066339	148789
ENSG00000101311	FERMT1	-0.212191853	0.158069253	55612
ENSG00000236336		0.140643992	0.15808535	NA
ENSG00000262461	SPDYE9P	-0.174038567	0.158103765	NA
ENSG00000198923		0.159842535	0.158110404	NA
ENSG00000180745	CLRN3	0.192785849	0.158131433	119467
ENSG00000102349	KLF8	-0.163108846	0.158214245	11279
ENSG00000005884	ITGA3	-0.130340347	0.158215467	3675
ENSG00000224982	TMEM233	-0.138981026	0.158300849	387890
ENSG00000166866	MYO1A	0.148608057	0.158304917	4640
ENSG00000120159	CAAP1	0.189548341	0.158307937	79886
ENSG00000169967	MAP3K2	0.256879922	0.158316077	10746
ENSG00000108588	CCDC47	0.29680869	0.158319911	57003
ENSG00000149591	TAGLN	0.221044999	0.158349678	6876
ENSG00000054654	SYNE2	-0.148598064	0.158350423	23224
ENSG00000108932	SLC16A6	-0.129702048	0.158402458	9120
ENSG00000179813	FAM216B	-0.143498608	0.158409987	144809
ENSG00000168509	HFE2	0.167975481	0.158492073	148738
ENSG00000242086	LINC00969	-0.172019215	0.158514228	NA
ENSG00000172331	BPGM	-0.159960081	0.158521358	669
ENSG00000126216	TUBGCP3	-0.147585103	0.15852979	10426
ENSG00000203819		-0.178259646	0.158576381	NA
ENSG00000132680	KHDC4	-0.135471358	0.158578902	22889
ENSG00000270727		-0.170854071	0.158682813	NA
ENSG00000166794	PPIB	-0.142747342	0.158710132	5479
ENSG00000155761	SPAG17	0.145896547	0.15882793	200162
ENSG00000188620	HMX3	0.118596042	0.158856304	340784
ENSG00000079112	CDH17	-0.161092205	0.158913516	1015
ENSG00000207965	MIR629	0.209935586	0.158953451	693214
ENSG00000198039	ZNF273	0.130066842	0.158965334	10793
ENSG00000226485	RBM22P3	-0.132619971	0.158992899	NA
ENSG00000254521	SIGLEC12	0.150832292	0.158999436	89858
ENSG00000137878	GCOM1	0.234789493	0.159061608	145781
ENSG00000228340	MIR646HG	-0.166490098	0.159064022	284757
ENSG00000125872	LRRN4	0.126622884	0.159098209	164312
ENSG00000167653	PSCA	0.157806319	0.15913138	8000
ENSG00000138346	DNA2	0.183303432	0.15913983	1763
ENSG00000181752	OR8K5	0.131842932	0.159147188	219453
ENSG00000215912	TTC34	0.124206419	0.159245992	100287898
ENSG00000262587		0.143744332	0.159293019	554206
ENSG00000099958	DERL3	0.157264307	0.159303567	91319
ENSG00000100324	TAB1	0.154838778	0.159329827	10454
ENSG00000120436	GPR31	-0.183972042	0.159357096	2853
ENSG00000122678	POLM	-0.122248841	0.159406766	27434
ENSG00000198556	ZNF789	-0.143680653	0.159482722	285989
ENSG00000229132	EIF4A1P10	-0.147683093	0.159589744	NA
ENSG00000134042	MRO	0.265965854	0.159631018	83876
ENSG00000167393	PPP2R3B	-0.174864512	0.159638982	28227
ENSG00000233868		-0.140245883	0.15977437	NA
ENSG00000166106	ADAMTS15	-0.137316342	0.159781515	170689
ENSG00000211750	TRBV24-1	0.153728898	0.159861536	NA
ENSG00000272913		-0.206689719	0.159909456	NA
ENSG00000149295	DRD2	-0.126803634	0.159936944	1813
ENSG00000205426	KRT81	0.157971879	0.159959319	3887
ENSG00000225493	LINC01107	-0.150501025	0.15997759	NA
ENSG00000174996	KLC2	0.196892496	0.159979164	64837
ENSG00000130733	YIPF2	0.235774704	0.159981013	78992
ENSG00000176183		-0.273671444	0.159992954	NA
ENSG00000127993	RBM48	-0.145604228	0.160009401	84060
ENSG00000186280	KDM4D	0.137942838	0.160030631	55693
ENSG00000269293	ZSCAN16-AS1	0.174247766	0.160061651	100129195
ENSG00000135114	OASL	0.152718856	0.16015041	8638
ENSG00000101695	RNF125	-0.14653564	0.160208315	54941
ENSG00000259790	ANP32BP1	-0.306764204	0.16044998	NA
ENSG00000267309		-0.187317508	0.16046541	728752
ENSG00000104774	MAN2B1	-0.188883101	0.160506026	4125
ENSG00000119661	DNAL1	-0.132696662	0.160547896	83544
ENSG00000166225	FRS2	-0.219236992	0.160570314	10818
ENSG00000167657	DAPK3	0.499588567	0.160591935	1613
ENSG00000008323	PLEKHG6	0.136609535	0.160604969	55200
ENSG00000128607	KLHDC10	-0.144131283	0.16063007	23008
ENSG00000160862	AZGP1	0.148826494	0.160660032	563
ENSG00000135749	PCNX2	0.134972454	0.160683286	80003
ENSG00000189149	CRYM-AS1	0.139999288	0.160700546	NA
ENSG00000265142	MIR133A1HG	-0.120591395	0.160760986	102723167
ENSG00000198663	C6orf89	-0.164608499	0.160884418	221477
ENSG00000169218	RSPO1	0.140944074	0.160909199	284654
ENSG00000160193	WDR4	0.132034328	0.161064845	10785
ENSG00000095587	TLL2	-0.15032511	0.161065486	7093
ENSG00000183753	BPY2	-0.146470564	0.161066195	9083
ENSG00000256025	CACNA1C-AS4	0.131211675	0.161095651	100874234
ENSG00000229809	ZNF688	-0.130076227	0.161208624	146542
ENSG00000229765		-0.195594151	0.161229051	NA
ENSG00000182508	LHFPL1	-0.198954703	0.161247039	340596
ENSG00000071626	DAZAP1	0.133928004	0.161259859	26528
ENSG00000253522	MIR3142HG	-0.218515929	0.161347978	107075116
ENSG00000102780	DGKH	-0.159845384	0.161397335	160851
ENSG00000166118	SPATA19	-0.152767373	0.161430651	219938
ENSG00000142511	GPR32	0.155383748	0.161483934	2854
ENSG00000269405	NXF2	-0.154370953	0.161503465	56001
ENSG00000119523	ALG2	0.141647716	0.161520088	85365
ENSG00000249031	SUMO2P6	-0.16377161	0.161556426	NA
ENSG00000070087	PFN2	0.125584668	0.161579775	5217
ENSG00000049249	TNFRSF9	0.136591258	0.16161306	3604
ENSG00000178150	ZNF114	0.22432041	0.161642647	163071
ENSG00000176714	CCDC121	0.170287773	0.161660063	79635
ENSG00000259423		-0.176284083	0.161688659	NA
ENSG00000218823	PAPOLB	0.12929649	0.161700483	56903
ENSG00000196357	ZNF565	-0.201213578	0.161754397	147929
ENSG00000092871	RFFL	-0.165679556	0.161780892	117584
ENSG00000263528	IKBKE	-0.149146732	0.161931902	9641
ENSG00000207639	MIR193B	0.141043944	0.161972947	574455
ENSG00000162676	GFI1	0.163139557	0.161985993	2672
ENSG00000226562	CYP4F26P	-0.172486041	0.161988542	NA
ENSG00000248459		0.141318304	0.161993092	NA
ENSG00000250733	C8orf17	-0.138758464	0.16199865	NA
ENSG00000118515	SGK1	-0.173591704	0.161999898	6446
ENSG00000103381	CPPED1	0.158460321	0.162014687	55313
ENSG00000184160	ADRA2C	-0.136737017	0.162022578	152
ENSG00000204130	RUFY2	-0.173524563	0.162038413	55680
ENSG00000281896		-0.195580308	0.162052593	NA
ENSG00000196289	BECN2	-0.136705378	0.162077509	441925
ENSG00000254802		-0.129121776	0.162121402	NA
ENSG00000132570	PCBD2	0.172400241	0.162219892	84105
ENSG00000131652	THOC6	-0.134077726	0.162284652	79228
ENSG00000258804	LINC01148	-0.167507478	0.162397031	283585
ENSG00000188060	RAB42	0.128252884	0.162425821	115273
ENSG00000230091	TMEM254-AS1	-0.159165205	0.162443551	NA
ENSG00000261461	UBE2MP1	-0.151621316	0.162568222	NA
ENSG00000187758	ADH1A	-0.131726002	0.16258376	124
ENSG00000148331	ASB6	-0.165170199	0.162601281	140459
ENSG00000204700	OR2J2	0.14308857	0.162618807	26707
ENSG00000257408		-0.13558738	0.162653897	NA
ENSG00000254798	TFAMP2	0.153789975	0.162658142	NA
ENSG00000115241	PPM1G	-0.114371094	0.162691855	5496
ENSG00000234616	JRK	-0.113238335	0.162695383	8629
ENSG00000164675	IQUB	0.159214992	0.162699073	154865
ENSG00000159403	C1R	-0.167893413	0.162716567	715
ENSG00000256092		0.216803285	0.162753752	NA
ENSG00000159267	HLCS	-0.149295579	0.162760348	3141
ENSG00000211802	TRAV22	-0.149180832	0.162784304	NA
ENSG00000151657	KIN	0.126273723	0.162799064	22944
ENSG00000214402	LCNL1	0.320275341	0.162803852	401562
ENSG00000171433	GLOD5	-0.178404829	0.162824543	392465
ENSG00000205846	CLEC6A	0.193363633	0.162831004	93978
ENSG00000245910	SNHG6	0.127307049	0.162850849	641638
ENSG00000101049	SGK2	-0.120743841	0.162910583	10110
ENSG00000174130	TLR6	0.141784684	0.162947481	10333
ENSG00000120075	HOXB5	0.148084513	0.16295578	3215
ENSG00000163873	GRIK3	-0.146724512	0.162979856	2899
ENSG00000107614	TRDMT1	0.16507464	0.163003248	1787
ENSG00000094661	OR1I1	-0.12581993	0.163025464	126370
ENSG00000214226	C17orf67	0.179522	0.163035002	339210
ENSG00000146373	RNF217	0.165518918	0.163036951	154214
ENSG00000180900	SCRIB	0.129545798	0.163072035	23513
ENSG00000155846	PPARGC1B	0.273322255	0.163077516	133522
ENSG00000176231	OR10H4	-0.152754173	0.163116414	126541
ENSG00000173198	CYSLTR1	-0.144673954	0.163126914	10800
ENSG00000203730	TEDDM1	0.157152068	0.163157944	127670
