hgnc_symbol	logFC_MUO	PValue_MUO	entrezgene
PRDX4	0.052472795	0.111902958	10549
KCNIP1	0.034493583	0.111903254	30820
NA	NA	NA	NA
BCAR1	0.065342494	0.111962564	9564
CARD16	0.047415596	0.111974997	114769
LUZP2	-0.080017086	0.111992678	338645
LMBR1	0.219185964	0.112013374	64327
LMBR1	0.219185964	0.112013374	64327
SEC23IP	-0.094883513	0.112019731	11196
PGS1	-0.159197125	0.112063238	9489
GSTA4	-0.127685546	0.112080421	2941
CCDC144NL	0.025277274	0.112103924	339184
PODXL2	0.150652206	0.112108573	50512
CTAGE7P	-0.028137209	0.112117329	NA
LOC105374492	-0.027212963	0.112127183	NA
MIR4474	0.030299596	0.112160217	NA
NEGR1-IT1	-0.048679896	0.112183313	NA
MIR579	-0.218967981	0.112215745	NA
MIR4493	-0.05140032	0.11226844	NA
LOC101928599	0.031563894	0.112312178	NA
LOC105378318	-0.032906666	0.112364999	NA
LOC100132111	0.098292761	0.112381601	NA
PPP2R4	0.054565431	0.112429709	NA
LOC105377736	0.033804757	0.112443517	NA
SLX1A /// SULT1A3 /// SLX1B-SULT1A4 /// SULT1A4 /// SLX1B /// SLX1A-SULT1A3 /// LOC105369243 /// LOC105369236	0.152779714	0.112456994	NA
TTC26	0.037493023	0.112459897	79989
LOC105371664	-0.03541783	0.112551644	NA
MVK	-0.137773783	0.112567925	4598
NA	NA	NA	NA
CCDC68	-0.120823452	0.112630826	80323
MSL2	-0.070748464	0.112642245	55167
PAX9	-0.048601423	0.112653163	5083
RAG2	0.023210798	0.112656316	5897
MIR3609	-0.040117536	0.112667665	NA
LOC728327	0.051374162	0.112697033	NA
LPAR1	0.220284599	0.112715837	1902
AFM	0.031694684	0.112728207	173
LOC105379030	0.025608607	0.112734084	NA
NA	NA	NA	NA
MEFV	0.052071708	0.112754718	4210
ZBED9	0.052795411	0.11280659	114821
TRPM5	0.071908135	0.112822281	29850
LOC105374503	-0.060494561	0.112843067	NA
FN3K	-0.123892646	0.112879058	64122
LDB3	-0.054068431	0.112894127	11155
LILRA3	0.063677107	0.112961918	11026
CYB5D2	0.149623325	0.113001571	124936
TRBJ2-1 /// TRBV20OR9-2 /// TRBV3-1 /// TRBV7-2 /// TRBV25OR9-2	0.091395786	0.113018703	NA
GPATCH8	-0.144548689	0.113029202	23131
PRPH	0.071018766	0.11305263	5630
ACSM3 /// LOC105379461	0.051243374	0.113100238	NA
LINC00904	-0.018668038	0.113102309	NA
IRX6	-0.261056086	0.113122023	79190
ERMAP	-0.111921039	0.113142296	114625
NA	NA	NA	NA
FBF1	-0.067836216	0.113168647	85302
LOC102724880	-0.046848844	0.113178533	NA
LOC440117	-0.02282715	0.113196977	NA
SEPHS2	0.121791294	0.113197193	22928
C14orf79	0.066571918	0.113242102	NA
DOCK3	0.079302106	0.113266643	1795
SMIM18	-0.028067453	0.113297736	100507341
TRAF6	-0.14301409	0.113338037	7189
HOXB4	-0.101178852	0.113351975	3214
NA	NA	NA	NA
MED12	-0.098458428	0.113417496	9968
GPR107	0.130301341	0.113487982	57720
IPW /// SNRPN	-0.203412737	0.113527926	NA
NA	NA	NA	NA
TFAP2D	-0.029593329	0.113572006	83741
MIR495	0.035400391	0.113631896	NA
GLT1D1	0.044573104	0.113640025	144423
LHFPL4	-0.054286412	0.113660518	375323
PLCH2	0.077087402	0.113675163	9651
PLCH2	0.077087402	0.113675163	9651
NA	NA	NA	NA
MOV10	0.109985352	0.113727316	4343
PRR29-AS1	-0.036647253	0.113728964	NA
LINC00032	-0.06488037	0.113758477	NA
ALDH3B1	0.137520927	0.113800111	221
EPYC	-0.024780271	0.113826854	1833
LOC101928323	0.106549947	0.113847978	NA
SSSCA1-AS1	-0.140834265	0.113858305	NA
LOC105371909	0.025992259	0.113882054	NA
NA	NA	NA	NA
ZNF587 /// ZNF586	-0.064767019	0.113915693	NA
IGKV2-29	-0.077907015	0.113922069	NA
MGAT4C	0.022190639	0.113935498	25834
OR4K17	-0.03022984	0.113942961	390436
BCL2L2 /// BCL2L2-PABPN1 /// PABPN1 /// LOC105378176	-0.078787667	0.113968914	NA
TCEB1	-0.11929757	0.113977536	NA
KRTAP21-3	-0.022426058	0.113991992	100288323
LOC103312105	-0.025425501	0.114032674	NA
ZFAT	0.526367189	0.114066897	57623
SLAMF9	0.053266254	0.114081786	89886
SNED1	-0.158708847	0.114112239	25992
CLCF1	0.085117884	0.11414334	23529
NA	NA	NA	NA
H3F3C	-0.047023228	0.11416415	440093
NA	NA	NA	NA
NA	NA	NA	NA
CDT1	0.064732144	0.114267593	81620
NA	NA	NA	NA
IFNW1	-0.024361747	0.11428615	3467
THTPA	0.086460658	0.114310435	79178
VCL	-0.136648997	0.114392287	7414
DOK4	0.082519529	0.114433468	55715
SLC7A11	0.05051967	0.114441214	23657
SLC7A11	0.05051967	0.114441214	23657
SLC7A11	0.05051967	0.114441214	23657
MIR4502	0.107107981	0.11445961	NA
DUSP2	0.071881976	0.114502258	1844
FAM215A	-0.18286133	0.114537907	NA
FAM3C	0.103515629	0.114543749	10447
SEMA3B-AS1	0.08519636	0.114566809	NA
ANKRD35	0.042401995	0.114599869	148741
TBC1D9B	0.102748326	0.114686876	23061
TXNDC12	-0.11505999	0.114884516	51060
LOC143666	0.050833563	0.114894801	NA
GPR137	-0.092599051	0.114902003	56834
DALRD3	-0.122035435	0.114922859	55152
AKIRIN1	-0.150355745	0.114968392	79647
OSGIN2	-0.235665457	0.11500479	734
NA	NA	NA	NA
GAB4	0.053824288	0.115060559	128954
PCTP	-0.046430313	0.115113128	58488
PCTP	-0.046430313	0.115113128	58488
LOC101930026	-0.080095564	0.115122681	NA
LOC256880	-0.042672294	0.115156092	NA
ZP3	0.063371932	0.115175099	7784
NA	NA	NA	NA
NA	NA	NA	NA
LOC105378015	0.038652694	0.115230781	NA
LOC102723721	-0.034641811	0.115232876	NA
MS4A8	-0.034205846	0.115306483	83661
MPP5	0.115949359	0.115309382	64398
LINC00328	0.095424106	0.115348026	NA
LINC00581	0.024004253	0.115382387	NA
ZNF22	0.033046176	0.115383462	7570
ZNF22	0.033046176	0.115383462	7570
LOC105377888	0.044259207	0.115388403	NA
LOC146880 /// PLEKHM1P	0.186907087	0.115390669	NA
NKX1-1	0.110578265	0.115456283	54729
LOC105375484	-0.031886507	0.115490099	NA
CCNL2	-0.119925364	0.115532643	81669
ST8SIA3	0.032278875	0.115543937	51046
TRAV30	-0.036185127	0.115617825	NA
PCDH9-AS4	0.030630926	0.11579021	NA
LOC730081	0.186043875	0.115791643	NA
CPNE5 /// LOC100131043	0.046072825	0.115859313	NA
NA	NA	NA	NA
HLA-C /// HLA-B	0.127162389	0.115878917	NA
OR7D4	0.051382882	0.115883439	125958
LOC100506023	-0.115295411	0.115893133	NA
LOC105376367	0.056527273	0.11592813	NA
PI4KAP1	0.145159039	0.115973976	NA
PI4KAP1	0.145159039	0.115973976	NA
C16orf91 /// LOC105371044	0.062011718	0.116044365	NA
SCRIB	-0.053414482	0.116052826	23513
LOC101928047	0.03063965	0.116071903	NA
GPR1	-0.030814034	0.116093746	2825
RGAG1	0.059840611	0.116111519	NA
FAM181B	-0.051086423	0.116136647	220382
LOC105370854 /// LOC105370853	0.039367678	0.116156657	NA
LOC105379376	-0.520586286	0.116177718	NA
RIBC2	0.046072825	0.116183252	26150
ACSL5	0.223353796	0.116216293	51703
ANKRD45	-0.026794434	0.116224224	339416
DKFZp686K1684 /// RCN1	-0.039498464	0.116224765	NA
C2orf72	0.049673899	0.116233814	257407
TCTN2	-0.24105399	0.116252653	79867
UBOX5 /// FASTKD5	-0.087646486	0.116281094	NA
ZNF691	-0.12109375	0.116281392	51058
MEGF10	0.056588309	0.116337623	84466
MEGF10	0.056588309	0.116337623	84466
DANT1	-0.099051339	0.116382461	NA
LOC388692 /// LINC01138	-0.056727818	0.116385008	NA
LINC01341	-0.079781667	0.116423946	NA
ADARB2	0.088736394	0.116463986	105
NUDT1	0.086007256	0.116467999	4521
RNU6-57P	0.166948593	0.116479816	NA
CTU1	-0.071864536	0.116551061	90353
C14orf159	0.106236051	0.116552626	NA
LOC105372823 /// LOC105377137	-0.035356795	0.116603324	NA
CDK2AP2	0.127441405	0.116645597	10263
NA	NA	NA	NA
UFSP2	-0.242745536	0.116656717	55325
ABCG5	0.030186244	0.116793787	64240
SLAIN2	0.078159889	0.116858749	57606
NA	NA	NA	NA
ART4	0.058942522	0.116917894	420
PRDX1	-0.083949499	0.116921072	5052
LOC101929144	0.027064735	0.116935477	NA
MIR125A	0.035095212	0.116957676	NA
RLBP1	0.034449985	0.116979807	6017
NA	NA	NA	NA
SMIM20 /// LOC102723733	-0.069545202	0.116997784	NA
CHRNA6	0.032322476	0.117015019	8973
SMAD7	0.234950476	0.117040008	4092
LOC81691	-0.07648577	0.117108779	NA
ORAOV1 /// FLJ42258	0.067897252	0.11711068	NA
SMC5	-0.122767857	0.117126566	23137
CHCHD2	-0.097726002	0.117142096	51142
LOC102725201	0.052324567	0.11715064	NA
RAB40B	-0.103166853	0.117162888	10966
LOC101929657	-0.025800434	0.117234043	NA
OLR1	0.071097236	0.117261222	4973
LOC105378726 /// LOC105378727	-0.066650391	0.117285303	NA
LOC105373401	-0.046639579	0.117309857	NA
PRG1	-0.040213448	0.117364503	NA
PALMD	0.133231009	0.117373438	54873
LOC105371017	0.028817315	0.1174336	NA
LOC105373400	-0.02935791	0.117459076	NA
LOC105378499	0.107910156	0.117465322	NA
ZC3H12B	0.077863422	0.117474514	340554
ZC3H12B	0.077863422	0.117474514	340554
ZC3H12B	0.077863422	0.117474514	340554
ZC3H12B	0.077863422	0.117474514	340554
NA	NA	NA	NA
LOC101927632	0.042855398	0.117591181	NA
PIF1	0.03867885	0.117612811	80119
LOC105373709	0.026733399	0.117633856	NA
LOC729348	0.02898298	0.117660681	NA
PRRT1	-0.081630161	0.117663646	80863
PRRT1	-0.081630161	0.117663646	80863
NA	NA	NA	NA
ADH1A	-0.037798202	0.117734015	124
LOC105373586	0.065473282	0.117760814	NA
ALDOA	-0.066563197	0.117789146	226
PEX5L	-0.03551374	0.117815682	51555
BPTF	0.103097099	0.117847404	2186
LOC102723832	0.043012348	0.117882428	NA
POU2F3	-0.059561593	0.117884617	25833
SLCO4C1	0.03907122	0.117909899	353189
LOC645321	-0.03150286	0.117976502	NA
NA	NA	NA	NA
EPSTI1	0.358328683	0.118023523	94240
FER1L5	-0.024483817	0.118038495	90342
GAGE4 /// GAGE2E /// GAGE12F /// GAGE12G /// GAGE6	-0.038251606	0.118055042	NA
NA	NA	NA	NA
SPTBN1	0.080950073	0.118070751	6711
NA	NA	NA	NA
LINC00200	-0.028826033	0.118105295	NA
LOC105375928	0.041477749	0.118113077	NA
UFC1	0.059535433	0.11817932	51506
SERF1A /// SERF1B	0.123814176	0.118180062	NA
MACC1 /// LOC101927668	-0.049028669	0.118236554	NA
BBX	0.035784039	0.118365042	56987
LOC105370605	-0.019888742	0.118385286	NA
LOC100996455	0.054879325	0.118394333	NA
MED4-AS1	-0.045200891	0.118492238	NA
NA	NA	NA	NA
GALNTL5	-0.027962819	0.118534365	168391
ZNF273 /// LOC285902 /// LOC105379734	-0.048636301	0.118534472	NA
LOC101929759	-0.039882116	0.118553597	NA
LRRC17	-0.098301481	0.118557756	10234
PRSS50	0.035731725	0.118577648	NA
PRSS50	0.035731725	0.118577648	NA
PRSS50	0.035731725	0.118577648	NA
AMBRA1	-0.104701451	0.118578767	55626
PLCG2 /// LOC105369213	0.050083708	0.118633402	NA
MIR3689F	0.289742607	0.118650759	NA
LOC113230	0.15825544	0.118652264	NA
SNTB2	-0.116315569	0.118663827	6645
NA	NA	NA	NA
LOC105374316	0.042105537	0.118713362	NA
VILL	0.057826451	0.118725655	50853
EMX2OS /// EMX2OS	0.102015904	0.118753044	NA
MXD1	-0.037641251	0.11876946	4084
MXD1	-0.037641251	0.11876946	4084
AZIN1-AS1	-0.061863495	0.11877899	NA
CLEC4M	0.094308037	0.118800177	10332
FLJ41941	-0.027579171	0.11882447	NA
G6PC2	-0.040230887	0.118855687	57818
ETAA1	-0.112147739	0.118882101	54465
TMEM88B	-0.208827428	0.118890421	643965
OR10H3	-0.042384556	0.118902995	26532
FAM174B /// LOC101926994 /// LOC105370978	0.086199079	0.11892079	NA
IGKV2-30 /// IGKC	0.275547573	0.118936808	NA
TIAM2	0.041913712	0.118942239	26230
THAP6	-0.070007323	0.118977098	152815
LOC105377096	0.025582449	0.118991353	NA
NFIC	-0.129952569	0.119016021	4782
LOC101928489	0.047380719	0.119038549	NA
C4orf19	-0.418491908	0.11907479	55286
ADAMTSL4 /// LOC105371437	-0.190115792	0.119135268	NA
LOC100505501	0.041111536	0.119196024	NA
CAMSAP3	0.040501185	0.119267701	57662
LINC01107	0.052995954	0.119269732	NA
C7orf34	-0.070669993	0.11927596	NA
TSPAN10	-0.048331122	0.119300383	83882
TSPAN10	-0.048331122	0.119300383	83882
CDK18	-0.062491283	0.119370925	5129
SNX9	0.134015766	0.119403657	51429
SNX9	0.134015766	0.119403657	51429
ISPD	0.062526157	0.119459164	729920
SH3TC1	0.055873325	0.119461215	54436
C19orf53	0.118477991	0.119462731	28974
TEDDM1	0.026227679	0.11946415	127670
ABHD17B	-0.164498467	0.119464615	51104
TMEM147-AS1	-0.162283761	0.119488311	NA
LOC349160 /// LOC105375524	0.034981864	0.11949029	NA
TAB3	0.095127653	0.119530189	257397
LOC105373461	-0.039114813	0.119567068	NA
CCDC157	0.049107141	0.119572339	550631
MC5R	0.054687501	0.11957656	4161
ACOXL	0.047546388	0.119598364	55289
CDC42EP1	0.097560336	0.119642362	11135
FHL2	0.099234443	0.119650605	2274
MIR1261	-0.025503978	0.119699307	NA
LOC105370778	0.029044016	0.11972075	NA
EARS2	0.084620885	0.119749618	124454
EXOSC3	-0.076677591	0.119751112	51010
LOC105377500	-0.032244001	0.119753979	NA
NA	NA	NA	NA
ZNF326	-0.132760184	0.119841816	284695
LOC101927070	0.047406879	0.119850594	NA
MIR938	-0.131094798	0.119861462	NA
ZNF862	-0.066580639	0.119871347	643641
STRA6	-0.037135532	0.119930102	64220
SLC38A3	-0.219848633	0.119944264	10991
DICER1-AS1	-0.04108538	0.119969877	NA
PHF20L1	-0.071079801	0.12000726	51105
MPP6	-0.242292133	0.120013131	51678
ARMS2	0.071280345	0.120046293	387715
TOR3A	0.089128767	0.120058765	64222
LOC101928919	-0.086164203	0.120068187	NA
NA	NA	NA	NA
SIRPG-AS1	-0.036952428	0.120163406	NA
SDR39U1	-0.089695522	0.120186787	56948
ZNF658	-0.042489191	0.120236977	26149
PDZK1P1	0.040248324	0.12024416	NA
PDZK1P1	0.040248324	0.12024416	NA
LOC645513	-0.271449498	0.120269018	NA
MIR4689	-0.206961493	0.120290823	NA
FMR1-AS1	0.026044576	0.120302969	NA
RAP1GDS1	-0.081542969	0.120365504	5910
LOC644554	0.05950928	0.120396435	NA
LINC01061	-0.232317243	0.120408824	NA
LAMP5-AS1	0.057695661	0.120443702	NA
SNAI1	-0.063467843	0.120446754	6615
LOC284628 /// LOC105378586	0.056483678	0.120460716	NA
SENP7	-0.108049665	0.120470667	57337
TSPAN7	0.133649553	0.120472693	7102
MMP15	-0.247645786	0.120477627	4324
LOC100506606	0.14857701	0.120483778	NA
ARL4D	-0.185398646	0.120537855	379
ATAT1	0.0672433	0.120539581	79969
TC2N	-0.63872419	0.120541818	123036
GOLGA8H	-0.088727677	0.120556132	728498
GOLGA8H	-0.088727677	0.120556132	728498
BAP1	-0.117832727	0.120568634	8314
FCRL2	0.035025459	0.12057626	79368
LOC102724092	-0.030822755	0.120591703	NA
IQCK	0.088309152	0.120639087	124152
NA	NA	NA	NA
H2AFY	0.172729492	0.120686309	9555
MIR4511	0.023507255	0.120744325	NA
WDFY3	0.122732978	0.120780052	23001
FANK1-AS1	-0.049290249	0.120782185	NA
MME	-0.196707605	0.120797837	4311
C17orf98	-0.068873815	0.12084738	388381
TIMM21	-0.143502372	0.120848684	29090
MIR1302-3	-0.023036413	0.120851231	NA
NA	NA	NA	NA
NA	NA	NA	NA
CYP3A5	-0.062761581	0.120895751	1577
IL21R	0.037152973	0.120913543	50615
LOC105370475	0.032017297	0.120951236	NA
SERINC5	0.231637138	0.121056713	256987
LINC01250	0.039768764	0.121074908	NA
NA	NA	NA	NA
SERP2	0.060477121	0.121175173	387923
LOC101929058	-0.026218959	0.121182505	NA
CALML6	0.041416714	0.121187428	163688
LOC105378136	0.049028672	0.121225505	NA
MIR544A	-0.047188895	0.121242963	NA
DTX4	0.216151647	0.121263745	23220
LOC101927229	0.04180036	0.121266032	NA
GAGE10	0.047433037	0.121296752	102724473
PKN2-AS1	0.049560547	0.121327979	NA
C12orf54	-0.044852122	0.121337785	121273
C12orf54	-0.044852122	0.121337785	121273
PFKP	0.111798968	0.121356905	5214
KATNAL1	-0.151611328	0.121411823	84056
LOC102724152	-0.039018905	0.121480905	NA
SLC12A5 /// LOC105372632	-0.047773089	0.121499098	NA
RBBP8	0.186366491	0.12155058	5932
NA	NA	NA	NA
PPP1R15A	0.12649972	0.12158106	23645
LOC105375342	-0.022321427	0.121594141	NA
LTB4R2	0.104422434	0.121657663	56413
IPW /// SNRPN	-0.237461636	0.121709098	NA
PHRF1 /// LOC105376667	-0.094674248	0.121776583	NA
LOC150596	-0.033639095	0.121782354	NA
SHANK2	-0.047598702	0.121808344	22941
SHANK2	-0.047598702	0.121808344	22941
SHANK2	-0.047598702	0.121808344	22941
IL15RA /// LOC105376384	0.130894252	0.121837042	NA
ZNF799 /// LOC105372277	0.082380024	0.12184047	NA
NAT2	0.049080983	0.121878496	10
SPAST	0.104945594	0.121904623	6683
CFAP47	-0.02344622	0.121916621	286464
CFAP47	-0.02344622	0.121916621	286464
CFAP47	-0.02344622	0.121916621	286464
CFAP47	-0.02344622	0.121916621	286464
CFAP47	-0.02344622	0.121916621	286464
NBEA	-0.176374161	0.121924498	26960
MTRNR2L4	-0.055079868	0.121929993	100463285
MIR3922	0.113342286	0.121938257	NA
CPXM1	-0.659197125	0.121939819	56265
FAM198A	-0.137660435	0.121958976	NA
ZNF276	0.064557756	0.121967631	92822
SLC6A3	0.051461354	0.121972902	6531
TGFBR1	-0.148768834	0.122002729	7046
NA	NA	NA	NA
LOC102724776	-0.029488699	0.122019352	NA
MRPS14	-0.082815988	0.122024808	63931
ID4	0.315255301	0.122099879	3400
LINC01127	0.036621094	0.12213798	NA
BRWD1-IT2	-0.111345565	0.122144722	NA
SLC37A1 /// LOC101930094	0.090576174	0.122174037	NA
ZW10	-0.071934293	0.122191695	9183
LOC105374153 /// LOC105374313	0.042480471	0.122196018	NA
LOC105374689	0.076651438	0.122201276	NA
NA	NA	NA	NA
ZNF137P	-0.036664691	0.122296538	NA
NA	NA	NA	NA
IL1R1 /// LOC105373515	0.116559709	0.12237155	NA
OR6K6	-0.024379186	0.122452582	128371
RPL13	-0.057207381	0.122470626	6137
PODN	-0.253383091	0.122596909	127435
B4GALT6	0.776715959	0.122638324	9331
CLEC12B	0.036934991	0.122646051	387837
NA	NA	NA	NA
USHBP1	-0.080418179	0.122656058	83878
MIR335	-0.036996025	0.122673422	NA
MCM3AP-AS1	-0.051199778	0.122693059	NA
SKP1	-0.075169154	0.122708128	6500
PIGU	0.100952148	0.122772437	128869
NCR3LG1	0.021109444	0.122774987	374383
NCR3LG1	0.021109444	0.122774987	374383
NA	NA	NA	NA
LMAN1L	0.058890207	0.122785211	79748
LMAN1L	0.058890207	0.122785211	79748
DCAF12	0.13230678	0.122786808	25853
C20orf187	0.035644531	0.12279957	NA
C20orf187	0.035644531	0.12279957	NA
C20orf187	0.035644531	0.12279957	NA
LOC105377289	-0.052202499	0.122812809	NA
AJUBA	0.076581684	0.122815572	84962
NPNT	0.070242744	0.122867998	255743
ZNF74	-0.043892997	0.122870945	7625
NA	NA	NA	NA
ZNF121	-0.096644809	0.122918588	7675
SLC39A14	-0.171630859	0.122933235	23516
TCEA2	0.067103794	0.122938039	6919
TCEA2	0.067103794	0.122938039	6919
MIR3938	-0.026288714	0.12296271	NA
FUK	0.048025948	0.122977414	197258
MDC1	-0.073660713	0.122987837	9656
LOC101929034	0.025312149	0.122996637	NA
PRAMENP	0.067967006	0.123004006	NA
ZNF587B	0.131888254	0.123010182	100293516
NA	NA	NA	NA
NDRG1	-0.115670342	0.123047199	10397
NBR1	-0.108991352	0.123215347	4077
MAPRE2	-0.147094727	0.123226116	10982
HCG16	-0.052917478	0.123237934	NA
LINC00158	-0.047720772	0.123284493	NA
ARHGAP36	-0.034824913	0.123298915	158763
POLR2B	-0.09385463	0.123346352	5431
GTF3C6	0.134835379	0.123409453	112495
GMPR2	-0.11983817	0.123414572	51292
SLC14A1	-0.071864535	0.123425698	6563
SYT3	-0.047685894	0.123430711	84258
NA	NA	NA	NA
HERC4	-0.096609932	0.123442007	26091
IGHV4-61	0.657784599	0.123444389	NA
LINC01072	-0.047589986	0.123468379	NA
MEG8	-0.043239048	0.123487371	NA
NA	NA	NA	NA
MLLT3	0.081072126	0.123499825	4300
LMTK2	-0.130057201	0.123502612	22853
TRIM64	-0.031555175	0.123521061	120146
LOC101928418	-0.027439661	0.123529063	NA
LOC105378875	0.018964492	0.123568877	NA
SDR16C5	0.045985629	0.123573376	195814
NA	NA	NA	NA
LOC100506885	0.051557269	0.123581727	NA
ZMYND12	-0.07069615	0.12360384	84217
LOC105374527	0.030020578	0.123636629	NA
ATP5E /// SLMO2-ATP5E /// PRELID3B	-0.084228517	0.123665408	NA
GNAT2	-0.045270647	0.123693607	2780
OR2L13	-0.040187293	0.123833176	284521
GLCCI1 /// LOC105375142	-0.155944824	0.123865655	NA
WISP3	-0.034885953	0.123865836	NA
MIR606	0.309988839	0.123882751	NA
PABPC4L	-0.119123185	0.123896143	132430
LINC01052	-0.028904509	0.123937036	NA
RPA2	0.099583216	0.123976198	6118
TRAC /// TRAJ40 /// TRAV20	0.036560061	0.124024008	NA
HCAR3	-0.160313197	0.124081782	8843
LOC101929771	0.061488559	0.124131909	NA
ABLIM2	0.086329869	0.124134723	84448
FPR1	0.080575125	0.12414286	2357
SLC9A6	0.140032086	0.124174598	10479
MIR592	-0.036333358	0.12417677	NA
IGLV11-55	0.026567731	0.124200668	NA
LOC105376223	-0.035417827	0.12423966	NA
EPB41L2	-0.091552734	0.124292047	2037
EIF5B	-0.097063337	0.124313797	9669
FAM83H	0.083635601	0.124325127	286077
BRSK1	-0.062796457	0.124327403	84446
LOC105378742	-0.035627093	0.124359805	NA
C4orf45 /// LOC105379456	-0.032139369	0.124367918	NA
NA	NA	NA	NA
LOC100131635	0.044198172	0.124373824	NA
ZCCHC9	-0.082101002	0.124375703	84240
SDHAP1	-0.307407922	0.124379458	NA
WIZ	-0.109654016	0.124391203	58525
LOC105375077	-0.022382463	0.124409367	NA
NA	NA	NA	NA
LOC105373594	-0.028372626	0.124415867	NA
POTEM /// POTEG	0.031145371	0.124432195	NA
ADCYAP1R1	-0.250226702	0.124440911	117
HRCT1	-0.420506069	0.12446066	646962
NA	NA	NA	NA
IGLV2-23	0.036577497	0.124518238	NA
LOC102723985	0.052934918	0.124550187	NA
MIR625	-0.016444614	0.124594416	NA
MUM1	-0.141845704	0.124605824	NA
RGPD3	-0.190761022	0.124607568	653489
P4HTM	-0.093906948	0.124633802	54681
LINC00867	-0.035574778	0.124657342	NA
PTS	0.149274551	0.124678064	5805
LOC105376713	-0.022975376	0.124716108	NA
LOC101929123	0.03782436	0.124747715	NA
ZBTB11-AS1	-0.09272112	0.124779353	NA
CACNA2D2	0.048409601	0.124857035	9254
SIAH2	-0.127790177	0.124882398	6478
LOC105370321	-0.033246722	0.124924146	NA
CEP250	-0.045715333	0.124945814	11190
LOC100996325	-0.058227539	0.124952644	NA
MYOD1	0.047825404	0.124957281	4654
CDYL2	-0.170235771	0.124967027	124359
CDYL2	-0.170235771	0.124967027	124359
LOC105376196	-0.332676482	0.124976322	NA
PRDX5	-0.147949219	0.125020453	25824
PAEP	0.039978027	0.125023537	5047
MIR33A	-0.019836428	0.125117524	NA
POU6F2-AS2	0.028372629	0.125166044	NA
MIR1538	0.392543247	0.125287353	NA
OPN5	0.040544784	0.125292951	221391
OPN5	0.040544784	0.125292951	221391
PLA2G10	0.042236327	0.125296502	8399
NA	NA	NA	NA
LOC105370899	0.04360526	0.125312024	NA
MORC2	0.109479634	0.125339793	22880
N4BP3	-0.089137484	0.125396935	23138
MRPS28	-0.097464425	0.125407447	28957
MPPE1	0.141845702	0.125418642	65258
C1QTNF7	-0.239589144	0.125452168	114905
NCR3LG1	0.060974121	0.125470608	374383
NCR3LG1	0.060974121	0.125470608	374383
FGF3	0.034066337	0.125488534	2248
DDX47 /// APOLD1	-0.084943499	0.1255447	NA
SH3D21	0.054617746	0.125648955	79729
LOC101927023	0.029462541	0.125684036	NA
LOC100129940	0.067513603	0.125692436	NA
VIM	0.072021485	0.125720142	7431
LOC101927637	0.053449361	0.125720796	NA
LOC105377196	0.034406391	0.125722312	NA
SST	-0.041521345	0.125829842	6750
ZNF350	-0.061941966	0.125879869	59348
NA	NA	NA	NA
GSTTP1 /// GSTTP2	-0.117963519	0.125901752	NA
APBB2	-0.119454521	0.125914687	323
HSPA6	0.135907855	0.125927278	3310
LOC105370855	0.072753905	0.125954599	NA
C17orf62	0.064749581	0.125968096	NA
NA	NA	NA	NA
NA	NA	NA	NA
SPRR4	-0.084150042	0.126113877	163778
NA	NA	NA	NA
TTPA	-0.253888814	0.126119909	7274
ATP13A2	0.140345979	0.126146326	23400
OR8H2	-0.040222169	0.126157133	390151
HSP90AA6P	-0.060642788	0.126181727	NA
P2RX4	0.123517717	0.126239333	5025
LOC105374670	-0.027282714	0.126243913	NA
MINA	-0.091047013	0.126263168	NA
H2AFV	0.070033485	0.126277259	94239
NA	NA	NA	NA
CCDC129	-0.034380231	0.12642678	NA
OR6F1 /// OR14A2	-0.031084332	0.126464548	NA
TUBA4A	-0.055271696	0.126513712	7277
CDKN3	0.035592216	0.126537368	1033
MIR383	0.082606727	0.126553614	NA
LOC102725191	-0.02369036	0.126612021	NA
LOC105372923	-0.025233677	0.1266203	NA
ERI2	-0.164446149	0.126643348	112479
LOC105375759	-0.02394322	0.126697425	NA
EREG	0.028259278	0.126727623	2069
LOC100505878	-0.022940501	0.126739619	NA
WISP1	-0.048304967	0.126805535	NA
LOC102723678	-0.098127091	0.126830473	NA
NA	NA	NA	NA
ZNF829	0.095964704	0.126916339	374899
LOC101927300	-0.105747767	0.126918373	NA
FMO6P	0.048557826	0.126924949	NA
LOC105378568	0.060076031	0.126935658	NA
PDE1A	0.104945589	0.127001429	5136
PSMB9 /// PSMB8-AS1	0.076450893	0.127021701	NA
NA	NA	NA	NA
LOC101927439	-0.021327428	0.127054394	NA
NA	NA	NA	NA
SCOC-AS1	-0.05330985	0.12713085	NA
RERE	-0.083496095	0.127189178	473
SEC24A	-0.093314034	0.127225446	10802
TCEB3-AS1	-0.135384696	0.127225925	NA
MBD6	-0.064854212	0.127226063	114785
NPIPB6	-0.177908761	0.127254373	728741
NDUFS4	-0.120064872	0.127273484	4724
RNASEH1-AS1	-0.17276437	0.127280869	NA
LOC105369150	-0.048217776	0.127311996	NA
ZNF665 /// ZNF347	-0.049612862	0.127341209	NA
PA2G4	0.069170268	0.127352135	5036
SNORA11C	-0.036167689	0.127395458	NA
LOC101929622	0.044294085	0.127420001	NA
LOC105377849	0.028276717	0.127488044	NA
ANK1	0.037580216	0.127493851	286
NA	NA	NA	NA
ITGA10	-0.045070102	0.127495368	8515
ZNF608	0.107073103	0.127508787	57507
LOC105373530	-0.039088658	0.127527239	NA
ENDOD1	0.141252792	0.12752874	23052
